CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x)))" 
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x)))" 
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.063454590737819672" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.031410016119480133" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.02891194075345993" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.028121808543801308" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.027028990909457207" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.027206243947148323" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.033642303198575974" 
0, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.04273652657866478" 
0, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.054665762931108475" 
0, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.025381835177540779" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.887973*((1.+(0.0523821*x))/(1.+(0.0460876*x))))-0.012564006261527538" 
