DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, comb, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "0.733112*((1.+(0.336449*x))/(1.+(0.246914*x)))" 
0, comb, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "0.733112*((1.+(0.336449*x))/(1.+(0.246914*x)))" 
0, comb, down, 1, -2.4, 2.4, 20, 30, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.05128663033246994" 
0, comb, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.029492266476154327" 
0, comb, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.030375970527529716" 
0, comb, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.028453584760427475" 
0, comb, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.027814172208309174" 
0, comb, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.028020482510328293" 
0, comb, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.038717329502105713" 
0, comb, down, 1, -2.4, 2.4, 300, 600, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.046419952064752579" 
0, comb, down, 1, -2.4, 2.4, 600, 1000, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.06724056601524353" 
0, comb, down, 0, -2.4, 2.4, 20, 30, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.020514652132987976" 
0, comb, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.011796906590461731" 
0, comb, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.012150388211011887" 
0, comb, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.01138143427670002" 
0, comb, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.011125668883323669" 
0, comb, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.011208193376660347" 
0, comb, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.01548693235963583" 
0, comb, down, 0, -2.4, 2.4, 300, 600, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.018567981198430061" 
0, comb, down, 0, -2.4, 2.4, 600, 1000, 0, 1, "(0.733112*((1.+(0.336449*x))/(1.+(0.246914*x))))-0.026896225288510323" 
