deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.990293) : (0.991161)) : (x<50 ? 0.990658:0.990722)) : (x<100 ? (x<80 ? (x<70 ? 0.990432:0.99036) : (0.990374)) : (x<120 ? 0.990567:0.991358))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993122:0.992543) : (0.991305)) : (x<400 ? 0.986169:0.98326)) : (x<800 ? (x<670 ? 0.983075:0.982597) : (x<1000 ? 0.973026:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.03645) : (1.02102)) : (x<50 ? 1.0181:1.0205)) : (x<100 ? (x<80 ? (x<70 ? 1.02018:1.02459) : (1.02316)) : (x<120 ? 1.02341:1.02461))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02398:1.02163) : (1.02009)) : (x<400 ? 1.02032:1.0526)) : (x<800 ? (x<670 ? 1.05355:1.0707) : (x<1000 ? 1.0118:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.299) : (1.33561)) : (x<50 ? 1.37219:1.38385)) : (x<100 ? (x<80 ? (x<70 ? 1.39936:1.41451) : (1.42224)) : (x<120 ? 1.43221:1.47208))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.54286:1.59902) : (1.65888)) : (x<400 ? 1.75496:1.79759)) : (x<800 ? (x<670 ? 1.93348:2.05626) : (x<1000 ? 2.44205:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971588) : (0.977657)) : (x<50 ? 0.979318:0.980462)) : (x<100 ? (x<80 ? (x<70 ? 0.980713:0.981045) : (0.981202)) : (x<120 ? 0.981536:0.982298))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983476:0.981888) : (0.979876)) : (x<400 ? 0.974212:0.969299)) : (x<800 ? (x<670 ? 0.96662:0.956651) : (x<1000 ? 0.942558:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.94512) : (0.9404)) : (x<50 ? 0.939482:0.939933)) : (x<100 ? (x<80 ? (x<70 ? 0.938955:0.943809) : (0.942587)) : (x<120 ? 0.94494:0.946881))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.946632:0.943203) : (0.938895)) : (x<400 ? 0.941664:0.964279)) : (x<800 ? (x<670 ? 0.954521:0.966291) : (x<1000 ? 0.890587:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01164) : (1.03834)) : (x<50 ? 1.06097:1.07222)) : (x<100 ? (x<80 ? (x<70 ? 1.08866:1.10233) : (1.11146)) : (x<120 ? 1.13126:1.1728))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.22515:1.2727) : (1.32089)) : (x<400 ? 1.38057:1.42783)) : (x<800 ? (x<670 ? 1.523:1.54558) : (x<1000 ? 1.87718:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.009) : (1.00467)) : (x<50 ? 1.002:1.00098)) : (x<100 ? (x<80 ? (x<70 ? 1.00015:0.999675) : (0.999546)) : (x<120 ? 0.999597:1.00042))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00277:1.0032) : (1.00273)) : (x<400 ? 0.998126:0.99722)) : (x<800 ? (x<670 ? 0.99953:1.00854) : (x<1000 ? 1.00349:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.12777) : (1.10164)) : (x<50 ? 1.09672:1.10106)) : (x<100 ? (x<80 ? (x<70 ? 1.10141:1.10538) : (1.10374)) : (x<120 ? 1.10189:1.10233))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.10132:1.10007) : (1.10129)) : (x<400 ? 1.09897:1.14092)) : (x<800 ? (x<670 ? 1.15258:1.1751) : (x<1000 ? 1.133:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.58635) : (1.63288)) : (x<50 ? 1.68341:1.69548)) : (x<100 ? (x<80 ? (x<70 ? 1.71006:1.72669) : (1.73302)) : (x<120 ? 1.73316:1.77135))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.86058:1.92534) : (1.99687)) : (x<400 ? 2.12935:2.16735)) : (x<800 ? (x<670 ? 2.34396:2.56695) : (x<1000 ? 3.00692:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.966665) : (0.97686)) : (x<50 ? 0.978883:0.979339)) : (x<100 ? (x<80 ? (x<70 ? 0.978588:0.977654) : (0.976404)) : (x<120 ? 0.976335:0.978268))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983437:0.982942) : (0.97852)) : (x<400 ? 0.963702:0.960205)) : (x<800 ? (x<670 ? 0.94513:0.948843) : (x<1000 ? 0.93375:0)))" 
